supplier_id,location,rating,quantity,lead_time_days,sku,order_date,order_year,order_month,order_quarter,order_day_of_week,delivery_delay_days,is_late
"S008","Los Angeles",3.37,49,17,"SKU0026","2023-07-23",2023,7,3,1,6,1
"S005","Seattle",4.66,30,18,"SKU0012","2021-12-17",2021,12,4,6,6,1
"S002","Seattle",4.42,408,13,"SKU0023","2020-09-25",2020,9,3,6,4,1
"S010","Seattle",4.05,234,13,"SKU0021","2020-05-27",2020,5,2,4,9,1
"S003","Los Angeles",3.04,364,12,"SKU0010","2022-01-24",2022,1,1,2,0,0
"S005","Seattle",4.66,291,8,"SKU0022","2022-02-15",2022,2,1,3,1,1
"S010","Seattle",4.05,17,9,"SKU0021","2020-07-13",2020,7,3,2,3,1
"S003","Los Angeles",3.04,109,22,"SKU0027","2020-05-02",2020,5,2,7,8,1
"S007","Los Angeles",3.36,249,15,"SKU0025","2021-06-15",2021,6,2,3,2,1
"S004","Seattle",4.94,487,9,"SKU0006","2022-04-27",2022,4,2,4,-1,0
"S003","Los Angeles",3.04,96,7,"SKU0027","2020-12-04",2020,12,4,6,3,1
"S003","Los Angeles",3.04,307,8,"SKU0008","2023-01-10",2023,1,1,3,0,0
"S001","Houston",4.2,437,12,"SKU0002","2020-08-03",2020,8,3,2,5,1
"S005","Seattle",4.66,23,13,"SKU0012","2019-06-03",2019,6,2,2,-1,0
"S009","Los Angeles",3.61,343,2,"SKU0013","2023-08-07",2023,8,3,2,-2,0
"S007","Los Angeles",3.36,11,19,"SKU0025","2021-09-23",2021,9,3,5,6,1
"S010","Seattle",4.05,384,21,"SKU0021","2022-05-28",2022,5,2,7,9,1
"S009","Los Angeles",3.61,302,3,"SKU0007","2021-12-28",2021,12,4,3,0,0
"S003","Los Angeles",3.04,334,18,"SKU0010","2021-10-05",2021,10,4,3,8,1
